Product Name; Product Code; IMEI or Serial Numbers; Expected; Counted
Mouse;63920719;;0;4
mango;72782608;;0;4
Earphone;85415108;;9;4
Baby doll;31261512;;29;4
lychee;38314290;;0;4
potato;212132;;0;4
iphone-X;97103461;11101/11102/11103//7001;0;4
Galaxy S9;72100265;;0;4
Shoe;90471412;;0;4
Polo Shirt;53467102;;0;4
Toothpaste;8.59875E+11;;0;4
tissue;8.94116E+12;;0;4
T-shirt;93475396;;2;4
T-shirt;93475396;;4;4
T-shirt;93475396;;2;4
Test variant;81145830;;2;4
TV;32703342;;8;4
testvar;32081679;;1;4
Napa;41930312;;18;4
Napa;41930312;;3;4
Napa;41930312;;2;4
Denim Jeans;19243053;;6;4
iphone-X;97103461;;1;4
